	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Control_1_RunId0094_LaneId7.R1.fq.report
Entolomataceae	0	0	0	0	0	1	0	0	0	0
Dipteridaceae	0	0	0	0	0	0	0	0	0	0
Entomophthoraceae	0	0	0	0	0	0	1	0	0	0
Micropezidae	0	0	0	0	0	4	0	0	0	0
Euglyphidae	0	0	0	0	0	0	0	0	0	0
Spondylidae	0	0	0	0	0	0	0	0	0	0
Cariamidae	0	1	0	2	0	11	0	0	0	0
Alvinellidae	0	1	0	0	0	1	0	0	0	0
Stupendidae	0	0	0	0	0	0	0	0	0	0
Halimedaceae	0	0	0	0	0	0	0	0	0	0
Stromateidae	0	1	0	0	0	0	0	0	0	0
Arecaceae	8	18	3	12	0	93	7	0	0	0
Nipponopsalididae	0	0	0	0	0	0	0	0	0	0
Bodonidae	0	0	0	1	0	1	0	0	0	0
Muraenidae	0	0	0	0	0	1	0	0	0	0
Cerithiidae	0	0	0	0	0	3	0	0	0	0
Ditrichaceae	0	0	0	1	0	1	0	0	0	0
Cardiidae	0	0	0	0	0	2	0	0	0	0
Aphididae	26	122	2	58	0	722	10	0	0	0
Diplomaragnidae	0	0	0	1	0	0	0	0	0	0
Ceratobasidiaceae	1	2	0	1	0	2	0	0	0	0
Leuctridae	0	0	0	0	0	0	0	0	0	0
Cercomonadidae	0	0	0	0	0	1	0	0	0	0
Synanceiidae	0	0	0	0	0	2	0	0	0	0
Rhinolophidae	7	15	0	19	0	50	4	0	0	0
Pimelodidae	0	0	0	0	0	1	0	0	0	0
Stentoridae	0	0	0	0	0	0	0	0	0	0
Tenuipalpidae	0	0	0	0	0	0	0	0	0	0
Ectolechiaceae	0	0	0	0	0	0	0	0	0	0
Ichthyophiidae	0	0	0	0	0	2	0	0	0	0
Troglotrematidae	0	0	0	0	0	0	0	0	0	0
Gomphonemataceae	0	0	0	0	0	4	0	0	0	0
Montiaceae	0	0	0	0	0	1	0	0	0	0
Ajellomycetaceae	6	4	3	12	0	54	5	0	0	0
Platypezidae	0	0	0	0	0	1	0	0	0	0
Chromodorididae	0	1	0	0	0	0	0	0	0	0
Megalonychidae	0	2	0	0	0	7	0	0	0	0
Calliphoridae	14	31	3	11	0	145	6	0	0	0
Hepialidae	0	0	0	1	0	1	0	0	0	0
Merulinidae	9	35	1	15	0	133	2	0	0	0
Liagoraceae	4	7	0	0	0	9	0	0	0	0
Mucoraceae	0	1	0	0	0	0	0	0	0	0
Rhizostomatidae	0	0	0	0	0	0	0	0	0	0
Tilletiariaceae	1	0	1	9	0	22	0	0	0	0
Coronulidae	0	0	0	0	0	1	0	0	0	0
Meripilaceae	0	0	0	1	0	0	0	0	0	0
Pediculidae	3	24	3	8	0	96	1	0	0	0
Sciuridae	5	16	2	4	0	102	3	0	0	0
Heterodontidae	0	0	0	0	0	1	0	0	0	0
Phyllostomidae	0	1	0	0	0	9	0	0	0	0
Moronidae	7	38	1	14	0	151	9	0	0	0
Capitellidae	2	1	0	0	0	8	0	0	0	0
Teratosphaeriaceae	1	3	0	28	0	45	16	0	0	0
Encalyptaceae	0	0	0	0	0	0	0	0	0	0
Verrucalvaceae	0	0	0	0	0	1	0	0	0	0
Iridaceae	0	0	0	0	0	1	0	0	0	0
Plethodontidae	1	4	0	1	0	12	0	0	0	0
Prodoxidae	0	0	0	0	0	1	0	0	0	0
Acoraceae	0	0	0	0	0	0	0	0	0	0
Idiopidae	0	0	0	0	0	1	0	0	0	0
Loranthaceae	0	1	0	0	0	0	0	0	0	0
Zopheridae	0	1	0	0	0	0	0	0	0	0
Heteropterygidae	0	0	0	0	0	0	0	0	0	0
Hydrodromidae	0	0	0	1	0	0	0	0	0	0
Cynoglossidae	7	35	4	7	0	73	5	0	0	0
Chaetosphaeridiaceae	0	0	0	0	0	1	1	0	0	0
Enchytraeidae	0	3	0	0	0	4	0	0	0	0
Chaetomiaceae	27	22	8	79	0	212	35	0	0	0
Sciaenidae	142	539	76	157	0	1904	36	0	0	1
Lemuridae	1	1	0	0	0	11	0	0	0	0
Schizosaccharomycetaceae	5	26	1	11	0	149	5	0	0	0
Odontophoridae	0	0	0	0	0	2	0	0	0	0
Aspidosiphonidae	0	0	0	0	0	5	0	0	0	0
Lineidae	1	0	0	0	0	1	0	0	0	0
Callochitonidae	0	1	0	0	0	0	0	0	0	0
Cuculidae	1	8	1	3	0	21	2	0	1	0
Stichopodidae	1	2	0	0	0	0	0	0	0	0
Menuridae	0	1	0	0	0	0	0	0	0	0
Zygaenidae	0	0	0	0	0	2	0	0	0	0
Hirudinidae	0	0	0	0	0	0	0	0	0	0
Buccinidae	0	0	0	0	0	0	0	0	0	0
Turaniellidae	0	1	0	0	0	0	0	0	0	0
Coliidae	0	3	1	4	0	13	0	0	0	0
Cercopidae	0	0	0	0	0	3	0	0	0	0
Spongillidae	0	4	0	0	0	2	0	0	0	0
Woodsiaceae	0	0	0	0	0	1	0	0	0	0
Corbiculidae	0	0	0	0	0	1	0	0	0	0
Trimorphomycetaceae	0	0	0	1	0	19	19	0	0	0
Passerellidae	1	3	0	4	0	31	0	0	0	0
Erebidae	0	2	0	2	0	27	0	0	0	0
Araneidae	0	17	0	4	0	43	0	0	0	0
Ceratolasmatidae	0	0	0	0	0	0	0	0	0	0
Sipunculidae	1	2	0	1	0	0	0	0	0	0
Camaenidae	0	0	0	0	0	2	0	0	0	0
Clariidae	0	0	0	0	0	2	0	0	0	0
Nothobranchiidae	9	23	0	5	0	103	1	0	0	0
Anthomyzidae	0	0	0	0	0	0	0	0	0	0
Lacturidae	0	0	0	0	0	0	0	0	0	0
Oxyuridae	111	328	7	87	0	1302	21	0	1	0
Cupedidae	0	0	0	0	0	1	0	0	0	0
Phenopelopidae	0	0	0	0	0	0	0	0	0	0
Goniodomataceae	0	0	0	0	0	0	0	0	0	0
Collemataceae	43	241	0	1	0	228	0	0	0	0
Psychodidae	1	4	0	4	0	24	0	0	0	0
Tetranychidae	14	38	0	1213	0	106	3	0	0	2
Dalceridae	0	0	0	0	0	0	0	0	0	0
Colaconemataceae	0	0	0	0	0	0	0	0	0	0
Scathophagidae	0	0	0	0	0	2	0	0	0	0
Tenrecidae	6	4	0	2	0	39	3	0	0	0
Douglasiidae	0	0	0	0	0	0	0	0	0	0
Mutelidae	0	0	0	0	0	1	0	0	0	0
Momotidae	0	0	0	0	0	2	0	0	0	0
Peripatidae	0	0	0	0	0	2	0	0	0	0
Microhylidae	2	2	0	0	0	24	0	0	0	0
Trogonidae	0	3	0	1	0	7	1	0	0	0
Astrolithidae	0	0	0	0	0	0	1	0	0	0
Lepidochitonidae	0	0	0	0	0	2	0	0	0	0
Trochodendraceae	0	0	0	0	0	0	0	0	0	0
Pycnonotidae	0	0	0	0	0	1	0	0	0	0
Lysianassidae	0	0	0	0	0	0	0	0	0	0
Notodontidae	0	0	0	0	0	1	0	0	0	0
Fringillidae	5	14	2	4	0	53	2	0	0	0
Ginkgoaceae	0	0	0	0	0	3	0	0	0	0
Polyphysaceae	0	1	0	0	0	1	0	0	0	0
Acrasiaceae	0	0	0	0	0	2	0	0	0	0
Urticaceae	0	0	0	0	0	3	1	0	0	0
Pachybolidae	0	0	0	0	0	1	0	0	0	0
Selenopidae	0	1	0	0	0	0	0	0	0	0
Hymenolepididae	126	425	11	90	0	1516	28	0	0	1
Scinidae	0	1	0	0	0	0	0	0	0	0
Balistidae	0	0	0	0	0	0	0	0	0	0
Rhinocryptidae	0	0	0	0	0	1	0	0	0	0
Anacampserotaceae	0	0	0	0	0	1	0	0	0	0
Bothriuridae	1	0	0	0	0	0	0	0	0	0
Megalopidae	0	0	0	0	0	2	0	0	0	0
Soritidae	0	0	0	0	0	0	0	0	0	0
Clusiaceae	0	0	2	1	0	0	0	0	0	0
Diatrypaceae	5	2	3	14	0	46	5	0	0	1
Sarcoptidae	0	0	0	0	0	0	0	0	0	0
Pipridae	8	10	1	5	0	57	3	0	1	0
Hydrochidae	0	0	0	1	0	0	0	0	0	0
Delphacidae	36	131	1	11	0	267	1	0	0	0
Haloragaceae	0	1	0	0	0	9	0	0	0	0
Teredinidae	0	0	0	0	0	0	0	0	0	0
Diplommatinidae	0	0	0	1	0	1	1	0	0	0
Francoaceae	0	0	0	0	0	8	1	0	0	0
Triopsidae	0	0	0	0	0	7	0	0	0	0
Alvinocarididae	1	0	0	0	0	0	0	0	0	0
Myxobilatidae	0	0	0	0	0	0	0	0	0	0
Lymantriidae	0	1	0	1	0	35	0	0	0	0
Angiostrongylidae	64	252	18	108	0	979	65	0	1	0
Plocamiaceae	0	2	0	0	0	2	0	0	0	0
Magnaporthaceae	15	9	3	49	0	115	31	0	0	0
Paralichthyidae	7	16	1	7	0	85	3	0	0	2
Nepticulidae	0	0	0	0	0	2	1	0	0	0
Philinoglossidae	0	0	0	0	0	0	0	0	0	0
Conoesucidae	0	0	0	0	0	1	0	0	0	0
Spirobolidae	0	0	0	0	0	1	0	0	0	0
Capniidae	0	0	0	0	0	0	0	0	0	0
Tropiduchidae	1	0	0	0	0	0	0	0	0	0
Botryidiopsidaceae	0	1	0	0	0	0	0	0	0	0
Betulaceae	0	1	0	0	0	5	2	0	0	0
Temnopleuridae	0	0	0	0	0	0	0	0	0	0
Psettodidae	0	0	0	0	0	0	0	0	0	0
Haemodoraceae	0	0	0	0	0	0	0	0	0	0
Isodiametridae	0	0	0	0	0	1	0	0	0	0
Laminariaceae	0	0	0	0	0	2	0	0	0	0
Sordariaceae	15	11	2	43	0	138	25	0	1	1
Bracteacoccaceae	0	1	0	0	0	5	0	0	0	0
Alucitidae	0	0	0	0	0	1	0	0	0	0
Tulasnellaceae	0	0	0	0	0	0	0	0	0	0
Ascidae	0	0	0	1	0	0	0	0	0	0
Hydrobiidae	0	0	0	0	0	1	0	0	0	0
Polybiidae	0	0	0	0	0	0	0	0	0	0
Gavialidae	2	11	0	3	0	47	0	0	0	0
Leiodidae	0	3	0	0	0	1	0	0	0	0
Dipodidae	4	8	2	4	0	32	0	0	0	0
Pleuronectidae	0	0	0	0	0	1	0	0	0	0
Opostegidae	0	0	0	0	0	0	0	0	0	0
Dicyemidae	0	0	0	0	0	0	0	0	0	0
Oecophoridae	0	1	0	0	0	2	0	0	0	0
Diapheromeridae	0	0	0	0	0	0	0	0	0	0
Psammobiidae	0	0	0	1	0	0	0	0	0	0
Splachnaceae	0	0	0	0	0	0	0	0	0	0
Aetalionidae	0	0	0	0	0	1	0	0	0	0
Elaeocarpaceae	0	2	0	0	0	0	0	0	0	0
Zingiberaceae	0	1	0	1	0	1	0	0	0	0
Dasyatidae	1	1	0	0	0	2	0	0	0	0
Heptathelidae	1	0	0	0	0	1	0	0	0	0
Bombycidae	26	92	3	43	0	1096	6	0	0	1
Phacaceae	0	0	0	1	0	0	0	0	0	0
Mitrocomidae	0	0	0	0	0	2	0	0	0	0
Atyidae	0	0	0	0	0	2	0	0	0	0
Ortheziidae	0	0	0	0	0	2	0	0	0	0
Ampullariidae	0	0	0	0	0	0	0	0	0	0
Sphaeriusidae	0	0	0	0	0	0	0	0	0	0
Polemoniaceae	0	0	0	0	0	1	0	0	0	0
Melittidae	0	0	0	1	0	0	0	0	0	0
Nymphalidae	15	41	0	29	0	913	2	0	0	1
Sarcosomataceae	0	0	0	1	0	0	0	0	0	0
Marsileaceae	0	0	0	0	0	1	0	0	0	0
Platytroctidae	0	0	0	0	0	1	0	0	0	0
Katablepharidaceae	0	0	0	0	0	0	0	0	0	0
Hydrophiidae	0	2	0	0	0	0	0	0	0	0
Euctenizidae	0	0	0	0	0	1	0	0	0	0
Dactylogyridae	0	0	0	0	0	0	0	0	0	0
Alligatoridae	12	14	2	8	0	67	3	0	0	0
Calanidae	0	0	0	0	0	1	0	0	0	0
Riodinidae	0	1	0	0	0	2	0	0	0	0
Hydroptilidae	0	0	0	0	0	1	0	0	0	0
Eupteleaceae	0	0	0	0	0	0	0	0	0	0
Glossiphoniidae	10	21	0	11	0	89	2	0	0	0
Leucobryaceae	1	0	0	0	0	3	0	0	0	0
Picidae	3	1	0	0	0	15	1	0	0	0
Stenocephalidae	0	0	0	0	0	0	0	0	0	0
Sphecidae	0	0	0	0	0	0	0	0	0	0
Didymosphaeriaceae	25	0	3	135	0	71	28	0	0	0
Alepocephalidae	0	0	0	1	0	0	0	0	0	0
Zoarcidae	0	0	0	0	0	0	0	0	0	0
Schistosomatidae	1036	4231	75	547	0	10512	183	3	2	10
Trichostrongylidae	0	0	0	0	0	2	0	0	0	0
Eremiaphilidae	0	0	0	0	0	0	0	0	0	0
Nepenthaceae	0	0	0	0	0	2	0	0	0	0
Nepidae	0	0	0	0	0	0	0	0	0	0
Ligiidae	0	0	0	0	0	0	0	0	0	0
Microascaceae	7	3	1	7	0	29	2	0	0	0
Cosmopterigidae	0	0	0	0	0	3	0	0	0	0
Mysidae	0	0	0	0	0	3	1	0	0	0
Acrobatidae	0	0	0	0	0	0	0	0	0	0
Sticholonchidae	0	0	0	0	0	0	0	0	0	0
Suidae	48	151	11	42	0	635	12	0	0	0
Saccharomycopsidaceae	7	16	2	4	0	72	2	0	0	0
Grossglockneriidae	0	0	0	0	0	0	0	0	0	0
Hypericaceae	0	0	0	0	0	0	0	0	0	0
Theileriidae	11	15	1	7	0	97	4	0	0	0
Serranidae	1	0	0	1	0	9	0	0	0	0
Adrianichthyidae	229	821	32	174	0	2657	53	0	0	5
Aphelenchoididae	0	0	0	0	0	2	1	0	0	0
Dasyuridae	3	20	3	12	0	83	3	0	0	0
Ctenomyidae	0	0	2	0	0	0	0	0	0	0
Ammotheidae	0	0	0	0	0	1	0	0	0	0
Glaresidae	0	0	0	0	0	0	0	0	0	0
Tytonidae	3	2	0	1	0	13	0	0	0	0
Dermanyssidae	0	0	0	0	0	2	0	0	0	0
Nothofagaceae	0	0	0	0	0	0	0	0	0	0
Amniculicolaceae	0	0	0	0	0	0	0	0	0	0
Phrynichidae	0	1	0	0	0	2	0	0	0	0
Heteromyidae	7	16	3	7	0	66	2	0	0	0
Selaginellaceae	2	5	0	3	0	18	2	0	0	0
Boldiaceae	1	0	0	0	0	1	0	0	0	0
Aporpiaceae	0	0	0	0	0	0	0	0	0	0
Didymellaceae	8	2	0	172	0	67	325	0	0	0
Chrysopidae	0	0	0	0	0	9	1	0	0	0
Triparmaceae	0	0	2	0	0	0	1	0	0	0
Argasidae	0	1	1	0	0	2	0	0	0	0
Phytolaccaceae	0	0	0	0	0	0	0	0	0	0
Russulaceae	0	0	0	0	0	0	0	0	0	0
Vahlkampfiidae	4	31	1	5	0	111	6	0	0	0
Dictyotaceae	0	0	0	0	0	0	0	0	0	0
Fragilariaceae	0	0	0	0	0	1	0	0	0	0
Phakopsoraceae	0	3	6	1	0	8	0	0	0	0
Spirastrellidae	0	0	0	0	0	0	0	0	0	0
Sycettidae	0	0	0	0	0	1	0	0	0	0
Anemiaceae	0	0	0	0	0	1	0	0	0	0
Togniniaceae	8	0	0	14	0	35	8	0	0	0
Neritidae	0	0	0	0	0	0	0	0	0	0
Tetrameristaceae	0	0	0	0	0	0	0	0	0	0
Polyporaceae	6	1	0	4	0	27	5	0	0	0
Synbranchidae	3	24	1	2	0	96	7	0	0	0
Tetrigidae	0	0	0	0	0	0	0	0	0	0
Lichtheimiaceae	12	12	2	9	0	67	4	0	0	0
Botryobasidiaceae	0	0	0	0	0	0	1	0	0	0
Dioscoreaceae	1	0	0	1	0	3	0	0	0	0
Melanommataceae	3	0	0	0	0	3	0	0	0	0
Ceratocystidaceae	0	0	0	0	0	7	0	0	0	0
Symplocaceae	0	0	0	0	0	0	0	0	0	0
Mycetophagidae	0	0	0	0	0	0	0	0	0	0
Sphaerosporidae	0	0	0	0	0	2	0	0	0	0
Coelacanthidae	11	34	1	10	0	129	1	0	0	0
Paratomellidae	0	0	0	0	0	0	0	0	0	0
Trapeliaceae	0	0	0	0	0	0	0	0	0	0
Apocynaceae	1	3	3	3	0	8	2	0	0	0
Arcidae	0	0	0	0	0	1	0	0	0	0
Melamphaidae	0	0	0	0	0	0	0	0	0	0
Desmidiaceae	0	3	0	0	0	2	1	0	0	0
Ophichthidae	0	0	0	0	0	0	0	0	0	0
Cosmetidae	0	2	0	0	0	7	0	0	0	0
Ampithoidae	0	0	0	0	0	1	0	0	0	0
Agriolimacidae	2	0	0	0	0	1	0	0	0	0
Sillaginidae	0	0	0	0	0	0	0	0	0	0
Onagraceae	2	0	0	0	0	0	0	0	0	0
Petrosaviaceae	0	0	0	0	0	0	0	0	0	0
Acanthasteridae	11	25	1	12	0	71	1	0	0	1
Miridae	0	5	0	1	0	17	0	0	0	0
Psocidae	2	0	0	0	0	0	0	0	0	0
Molluginaceae	0	0	0	0	0	2	0	0	0	0
Amoebidae	0	1	0	0	0	0	0	0	0	0
Mellitidae	0	0	0	0	0	0	0	0	0	0
Hygrobiidae	0	0	0	0	0	0	0	0	0	0
Taxaceae	0	0	0	0	0	1	0	0	0	0
Camallanidae	0	1	0	0	0	2	0	0	0	0
Bacillariaceae	0	1	0	1	0	11	0	0	0	0
Rhizophyllidaceae	0	0	0	0	0	3	0	0	0	0
Osteoglossidae	13	15	13	7	0	68	3	0	0	0
Evaniidae	0	0	0	0	0	0	0	0	0	0
Pezizaceae	0	0	0	0	0	0	0	0	0	0
Podostemaceae	0	0	0	0	0	0	0	0	0	0
Rhyacotritonidae	0	0	0	0	0	1	0	0	0	0
Cabombaceae	0	0	0	0	0	1	0	0	0	0
Schistochilaceae	0	1	0	0	0	0	0	0	0	0
Leucosoleniidae	0	0	0	0	0	1	0	0	0	0
Unikaryonidae	0	2	1	3	0	14	0	0	0	0
Geminigeraceae	1	9	0	17	0	40	5	0	0	0
Rotundellaceae	0	0	0	0	0	3	0	0	0	0
Otariidae	0	0	0	0	0	0	0	0	0	0
Pasiphaeidae	0	0	0	0	0	0	0	0	0	0
Calappidae	0	0	0	0	0	2	0	0	0	0
Morchellaceae	0	0	0	1	0	1	0	0	0	0
Pelliaceae	0	0	0	0	0	1	0	0	0	0
Chrysididae	0	0	0	0	0	1	0	0	0	0
Ceratobatrachidae	0	1	0	0	0	0	0	0	0	0
Perilampidae	0	0	0	0	0	0	0	0	0	0
Callorhinchidae	16	47	1	13	0	147	6	0	0	0
Frullaniaceae	0	0	0	0	0	2	0	0	0	0
Plecoglossidae	0	0	1	0	0	5	2	0	0	0
Heterorhabditidae	0	0	0	0	0	2	0	0	0	0
Ripiphoridae	0	0	0	0	0	0	0	0	0	0
Geometridae	70	249	0	1	0	455	3	0	0	0
Dytiscidae	0	0	0	1	0	10	0	0	0	0
Scutigerellidae	0	0	0	0	0	2	0	0	0	0
Cynocephalidae	2	12	1	13	0	52	4	0	0	0
Bryaceae	0	0	0	0	0	0	0	0	0	0
Neelidae	0	0	0	0	0	0	0	0	0	0
Magnoliaceae	0	0	0	0	0	5	0	0	0	0
Cebidae	25	72	2	24	0	274	12	0	0	0
Echinorhynchidae	0	1	0	0	0	1	0	0	0	0
Phoridae	0	0	0	0	0	3	0	0	0	0
Diphyllobothriidae	409	1720	39	354	0	4628	102	1	2	7
Meloidae	0	1	0	0	0	4	0	0	0	0
Chaetopeltidaceae	1	0	1	0	0	1	0	0	0	0
Tainisopidae	0	0	0	0	0	0	0	0	0	0
Chathamiidae	0	0	0	0	0	0	0	0	0	0
Lentitheciaceae	0	0	0	0	0	0	0	0	0	0
Taccaceae	0	1	0	0	0	0	0	0	0	0
Myocastoridae	0	1	0	0	0	0	0	0	0	0
Lemaneaceae	0	1	0	0	0	0	0	0	0	0
Enicocephalidae	0	0	0	0	0	0	0	0	0	0
Choreutidae	0	0	0	0	0	1	0	0	0	0
Serendipitaceae	1	0	0	0	0	1	0	0	0	0
Salmonidae	236	879	10	41	0	1196	15	0	0	1
Placobranchidae	0	1	0	0	0	0	0	0	0	0
Janiridae	0	0	0	0	0	2	0	0	0	0
Schizothyriaceae	0	0	0	0	0	0	0	0	0	0
Volvocaceae	1	6	2	7	0	77	7	0	0	0
Poeciliidae	16	71	5	17	0	272	14	0	0	0
Halictidae	4	7	0	8	0	31	0	0	0	0
Dryopteridaceae	1	1	0	0	0	6	0	0	0	0
Nosodendridae	0	0	0	1	0	0	0	0	0	0
Uvigerinidae	0	0	0	0	0	0	0	0	0	0
Dothideaceae	0	0	0	2	0	4	0	0	0	0
Petauridae	0	0	0	0	0	0	0	0	0	0
Cricetidae	16	51	7	13	0	186	5	0	0	0
Sinipercidae	0	2	0	0	0	1	0	0	0	0
Petaluridae	0	0	0	0	0	1	0	0	0	0
Centrolenidae	0	0	0	0	0	0	0	0	0	0
Chelidae	0	0	0	1	0	0	0	0	0	0
Clionaidae	0	0	0	0	0	0	0	0	0	0
Symbiodiniaceae	0	3	1	1	0	8	0	0	0	0
Trichonymphidae	0	0	0	0	0	0	0	0	0	0
Eimeriidae	4	14	0	13	0	79	8	0	0	0
Ornithorhynchidae	10	18	2	11	0	89	4	0	0	0
Achipteriidae	1	0	0	0	0	0	0	0	0	0
Scirtidae	0	0	0	0	0	3	1	0	0	0
Phalangiidae	0	0	0	0	0	0	0	0	0	0
Arrenuridae	0	0	0	0	0	0	0	0	0	0
Phocoenidae	0	1	0	0	0	6	0	0	0	0
Percichthyidae	0	0	0	0	0	1	0	0	0	0
Burmanniaceae	0	0	0	0	0	1	0	0	0	0
Pentaphylacaceae	0	0	0	0	0	0	0	0	0	0
Oplitidae	0	0	0	0	0	0	0	0	0	0
Glomerellaceae	41	25	5	111	0	246	31	0	0	0
Euglenaceae	1	6	0	0	0	20	1	0	0	0
Dotidae	0	0	0	0	0	0	0	0	0	0
Amphinomidae	0	0	0	0	0	0	0	0	0	0
Buxaceae	0	0	0	0	0	0	0	0	0	0
Phycomycetaceae	5	16	0	4	0	52	3	0	0	0
Isonychiidae	0	0	0	0	0	1	0	0	0	0
Tephromelataceae	0	0	0	0	0	1	0	0	0	0
Sylviidae	0	0	0	1	0	6	0	0	0	0
Cornaceae	0	0	0	0	0	0	0	0	0	0
Sabellidae	0	1	0	0	0	0	0	0	0	0
Ethopolyidae	0	1	0	0	0	1	0	0	0	0
Harrimaniidae	12	32	1	9	0	123	0	0	1	0
Cupressaceae	0	4	0	3	0	24	0	0	0	0
Octopodidae	13	37	3	8	0	96	2	0	0	0
Prayidae	0	0	0	0	0	2	0	0	0	0
Stereaceae	3	3	1	4	0	24	1	0	0	0
Leucopsacidae	0	0	0	0	0	1	0	0	0	0
Hippopotamidae	0	0	0	0	0	0	0	0	0	0
Archaeidae	0	0	0	0	0	0	0	0	0	0
Sicariidae	0	1	0	0	0	0	1	0	0	0
Mormoopidae	0	0	0	0	0	0	0	0	0	0
Cleomaceae	4	10	1	11	0	51	10	0	0	0
Anthribidae	0	0	0	0	0	0	0	0	0	0
Lepadidae	0	0	0	0	0	1	0	0	0	0
Malpighiaceae	0	0	0	0	0	2	0	0	0	0
Trombidiidae	0	0	0	0	0	0	0	0	0	0
Marchantiaceae	0	0	0	0	0	4	0	0	0	0
Pomatiopsidae	0	0	0	0	0	1	0	0	0	0
Bombyliidae	0	0	0	0	0	1	0	0	0	0
Potoroidae	0	0	0	0	0	0	0	0	0	0
Opisthocomidae	5	2	0	2	0	13	0	0	0	0
Sminthuridae	0	0	0	0	0	0	0	0	0	0
Cressidae	0	0	0	0	0	0	0	0	0	0
Celastraceae	0	0	0	0	0	1	0	0	0	0
Machaerotidae	0	0	0	0	0	3	0	0	0	0
Tarsipedidae	0	0	0	0	0	1	0	0	0	0
Lejeuneaceae	0	2	0	0	0	1	0	0	0	0
Cystobasidiaceae	0	0	0	0	0	0	0	0	0	0
Scytodidae	0	0	0	0	0	0	0	0	0	0
Hyalellidae	15	57	12	33	0	197	16	0	0	0
Rhinophoridae	0	0	0	0	0	0	0	0	0	0
Trionychidae	6	19	2	13	0	58	3	0	0	0
Loasaceae	0	0	0	0	0	2	0	0	0	0
Lygaeidae	0	0	0	0	0	1	0	0	0	0
Lacertidae	2	12	6	4	0	26	2	0	0	0
Clastopteridae	0	0	0	0	0	1	0	0	0	0
Neopilinidae	0	0	0	0	0	0	0	0	0	0
Nerillidae	0	0	0	0	0	0	0	0	0	0
Asteriidae	0	2	0	0	0	2	0	0	0	0
Corynidae	0	0	0	0	0	0	0	0	0	0
Niphatidae	7	15	1	7	0	107	2	0	0	0
Nevrorthidae	0	0	0	0	0	0	0	0	0	0
Cyclidiidae	0	0	0	0	0	0	0	0	0	0
Bondarzewiaceae	2	3	1	6	0	33	0	0	0	0
Hydraenidae	0	0	1	0	0	2	0	0	0	0
Scrophulariaceae	0	0	0	0	0	2	0	0	0	0
Caridae	0	0	0	0	0	0	0	0	0	0
Anthocerotaceae	0	0	0	0	0	1	0	0	0	0
Esocidae	9	19	1	9	0	110	1	0	0	0
Eucinetidae	0	2	0	0	0	1	0	0	0	0
Leporidae	7	11	3	4	0	71	6	0	0	0
Plectreuridae	0	0	0	2	0	0	0	0	0	0
Pergidae	0	0	0	0	0	3	0	0	0	0
Strongyloididae	326	1476	6	177	0	3332	65	0	0	9
Schizomeridaceae	0	0	0	0	0	1	0	0	0	0
Ursidae	7	15	4	6	0	76	1	0	0	0
Flatidae	1	0	0	0	0	1	0	0	0	0
Thelypteridaceae	0	0	0	0	0	1	0	0	0	0
Folliculinidae	0	0	0	0	0	1	0	0	0	0
Anoeciidae	0	0	0	0	0	3	0	0	0	0
Trichomeriaceae	1	0	1	0	0	3	4	0	0	0
Phascolosomatidae	0	0	0	0	0	0	0	0	0	0
Pyrenomonadaceae	0	0	0	0	0	2	0	0	0	0
Syllidae	0	1	0	0	0	1	0	0	0	0
Diversisporaceae	0	0	0	0	0	0	0	0	0	0
Chattonellaceae	0	1	0	0	0	2	0	0	0	0
Cunninghamellaceae	0	0	0	0	0	1	0	0	0	0
Amaranthaceae	0	5	0	0	0	8	0	0	1	0
Naucoridae	0	0	0	0	0	0	0	0	0	0
Machilidae	0	0	0	0	0	1	0	0	0	0
Bartramiaceae	0	0	0	1	0	2	0	0	0	0
Dicrocoeliidae	102	458	13	66	0	1101	23	0	0	1
Centropomidae	2	25	4	13	0	115	0	0	0	0
Sarcophagidae	1	2	0	0	0	3	0	0	0	0
Euryalidae	0	0	0	0	0	2	0	0	0	0
Philinidae	0	0	0	0	0	0	0	0	0	0
Sebacinaceae	0	0	0	0	0	0	0	0	0	0
Buthidae	7	72	1	22	0	433	1	0	1	0
Peripatopsidae	0	0	0	0	0	1	0	0	0	0
